id;gruppo;giorno;peso
blu1;1;1;7.31
blu1;1;2;7.18
blu1;1;3;7.64
blu1;1;4;8
blu1;1;5;8.57
blu1;1;6;8.93
blu1;1;7;9.04
blu1;1;8;9.57
blu1;1;9;10.09
blu1;1;10;11.14
blu1;1;11;12
blu1;1;12;12.24
blu1;1;13;12.96
blu1;1;14;14.02
blu1;1;15;14.59
blu1;1;16;15.14
blu1;1;17;15.9
nero1;1;1;7.05
nero1;1;2;6.76
nero1;1;3;6.54
nero1;1;4;6.7
nero1;1;5;6.92
nero1;1;6;7.25
nero1;1;7;8
nero1;1;8;8.47
nero1;1;9;8.98
nero1;1;10;9.66
nero1;1;11;10
nero1;1;12;10.83
nero1;1;13;11.46
nero1;1;14;12.69
nero1;1;15;13.45
nero1;1;16;14.28
nero1;1;17;15.16
bianco1;1;1;7.99
bianco1;1;2;7.64
bianco1;1;3;7.75
bianco1;1;4;8
bianco1;1;5;8.47
bianco1;1;6;8.76
bianco1;1;7;9.18
bianco1;1;8;9.68
bianco1;1;9;10.35
bianco1;1;10;10.98
bianco1;1;11;11.3
bianco1;1;12;12.2
bianco1;1;13;13.02
bianco1;1;14;14.07
bianco1;1;15;14.09
bianco1;1;16;15.64
bianco1;1;17;16.4
blu2;2;1;7.16
blu2;2;2;6.73
blu2;2;3;6.82
blu2;2;4;7.2
blu2;2;5;7.84
blu2;2;6;8.48
blu2;2;7;8.88
blu2;2;8;9.55
blu2;2;9;10.12
blu2;2;10;10.38
blu2;2;11;11.2
blu2;2;12;12.18
blu2;2;13;12.94
blu2;2;14;13.75
blu2;2;15;14.87
blu2;2;16;15.19
blu2;2;17;15.85
nero2;2;1;6.91
nero2;2;2;6.62
nero2;2;3;6.62
nero2;2;4;7.5
nero2;2;5;7.87
nero2;2;6;8.84
nero2;2;7;8.86
nero2;2;8;9.31
nero2;2;9;9.81
nero2;2;10;10.75
nero2;2;11;11.5
nero2;2;12;12.2
nero2;2;13;12.87
nero2;2;14;13.92
nero2;2;15;14.3
nero2;2;16;14.88
nero2;2;17;15.44
bianco2;2;1;7.8
bianco2;2;2;7.53
bianco2;2;3;7.13
bianco2;2;4;8
bianco2;2;5;8.36
bianco2;2;6;9.04
bianco2;2;7;9.34
bianco2;2;8;9.44
bianco2;2;9;10.04
bianco2;2;10;10.85
bianco2;2;11;11.4
bianco2;2;12;12.34
bianco2;2;13;13.08
bianco2;2;14;14.27
bianco2;2;15;14.5
bianco2;2;16;15.09
bianco2;2;17;15.48
blu3;3;1;7.35
blu3;3;2;6.92
blu3;3;3;6.89
blu3;3;4;7.2
blu3;3;5;7.92
blu3;3;6;8.25
blu3;3;7;8.54
blu3;3;8;8.9
blu3;3;9;9.06
blu3;3;10;9.6
blu3;3;11;10
blu3;3;12;10.19
blu3;3;13;10.88
blu3;3;14;12.07
blu3;3;15;12.66
blu3;3;16;13.32
blu3;3;17;13.86
nero3;3;1;9.01
nero3;3;2;9.62
nero3;3;3;9.93
nero3;3;4;10.2
nero3;3;5;10.56
nero3;3;6;11.07
nero3;3;7;11.66
nero3;3;8;12.11
nero3;3;9;11.83
nero3;3;10;12.07
nero3;3;11;12.9
nero3;3;12;12.12
nero3;3;13;12.24
nero3;3;14;13.49
nero3;3;15;14.69
nero3;3;16;15.48
nero3;3;17;16.08
rosso3;3;1;8.08
rosso3;3;2;7.8
rosso3;3;3;7.95
rosso3;3;4;8
rosso3;3;5;8.73
rosso3;3;6;9.22
rosso3;3;7;9.66
rosso3;3;8;10.18
rosso3;3;9;10.58
rosso3;3;10;11.23
rosso3;3;11;12
rosso3;3;12;12.42
rosso3;3;13;12.54
rosso3;3;14;13.96
rosso3;3;15;14.65
rosso3;3;16;14.79
rosso3;3;17;15.01
bianco3;3;1;8.49
bianco3;3;2;8.26
bianco3;3;3;8.44
bianco3;3;4;9
bianco3;3;5;9.6
bianco3;3;6;10.05
bianco3;3;7;10.61
bianco3;3;8;11.44
bianco3;3;9;11.89
bianco3;3;10;12.52
bianco3;3;11;13.5
bianco3;3;12;14.05
bianco3;3;13;14.56
bianco3;3;14;15.9
bianco3;3;15;16.47
bianco3;3;16;17.25
bianco3;3;17;17.62
ctrA;4;1;6.53
ctrA;4;2;6.75
ctrA;4;3;6.98
ctrA;4;4;7.1
ctrA;4;5;7.48
ctrA;4;6;8.2
ctrA;4;7;8.76
ctrA;4;8;9.33
ctrA;4;9;9.88
ctrA;4;10;10.6
ctrA;4;11;11.3
ctrA;4;12;11.85
ctrA;4;13;12.25
ctrA;4;14;12.91
ctrA;4;15;13.71
ctrA;4;16;14.53
ctrA;4;17;15.05
ctrB;4;1;8.97
ctrB;4;2;10.17
ctrB;4;3;10.29
ctrB;4;4;11.1
ctrB;4;5;11.45
ctrB;4;6;12.27
ctrB;4;7;13.2
ctrB;4;8;13.88
ctrB;4;9;14.79
ctrB;4;10;15.85
ctrB;4;11;16
ctrB;4;12;16.6
ctrB;4;13;17.06
ctrB;4;14;17.8
ctrB;4;15;17.88
ctrB;4;16;18.31
ctrB;4;17;18.62
ctrC;4;1;6.98
ctrC;4;2;6.79
ctrC;4;3;6.95
ctrC;4;4;6.98
ctrC;4;5;6.85
ctrC;4;6;8.46
ctrC;4;7;8.86
ctrC;4;8;9.78
ctrC;4;9;10.55
ctrC;4;10;11.26
ctrC;4;11;11.8
ctrC;4;12;12.93
ctrC;4;13;14.12
ctrC;4;14;14.85
ctrC;4;15;15.37
ctrC;4;16;16.35
ctrC;4;17;16.72
ctrD;4;1;7.12
ctrD;4;2;6.78
ctrD;4;3;7.11
ctrD;4;4;7.6
ctrD;4;5;7.88
ctrD;4;6;8.19
ctrD;4;7;8.96
ctrD;4;8;9.6
ctrD;4;9;10.17
ctrD;4;10;11.29
ctrD;4;11;12.1
ctrD;4;12;12.24
ctrD;4;13;12.97
ctrD;4;14;13.76
ctrD;4;15;14.54
ctrD;4;16;15.14
ctrD;4;17;15.54
ctrE;4;1;6.63
ctrE;4;2;6.38
ctrE;4;3;6.72
ctrE;4;4;7
ctrE;4;5;7.18
ctrE;4;6;7.6
ctrE;4;7;8.16
ctrE;4;8;8.77
ctrE;4;9;9.48
ctrE;4;10;10.3
ctrE;4;11;10.8
ctrE;4;12;11.67
ctrE;4;13;12.66
ctrE;4;14;13.96
ctrE;4;15;14.62
ctrE;4;16;15.2
ctrE;4;17;15.58
